epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8208,1.18968,1.58193,1.23658,0.65428,0.52962,0.6053,0.45027,1.08558,1.13044,1.12474,8.33e-06,8.33e-06,8.33e-06
2,29.2843,1.19498,1.38677,1.25999,0.67708,0.53831,0.62541,0.46588,1.07856,1.10207,1.12201,1.43157e-05,1.43157e-05,1.43157e-05
3,43.64,1.25668,1.44393,1.26491,0.69066,0.54432,0.63503,0.47352,1.07103,1.08671,1.11808,1.65315e-05,1.65315e-05,1.65315e-05
4,58.1013,1.11575,1.37583,1.22636,0.69341,0.56004,0.64387,0.48139,1.06455,1.06818,1.11519,1.49773e-05,1.49773e-05,1.49773e-05
5,72.6295,1.14324,1.28529,1.21073,0.69694,0.58064,0.65104,0.48797,1.06,1.05636,1.11247,9.65328e-06,9.65328e-06,9.65328e-06
